0.025,10.191,0.025025
0.05,10.2556,0.049975
0.075,10.281,0.075
0.1,10.3117,0.1
0.125,10.3089,0.125025
0.15,10.4095,0.150025
0.175,10.4806,0.175
0.2,10.6079,0.200025
0.225,10.7232,0.22495
0.25,10.8581,0.249925
0.275,10.9499,0.274925
0.3,11.0827,0.299975
0.325,11.2283,0.324975
0.35,11.4045,0.35
0.375,11.6391,0.37485
0.4,11.8668,0.40015
0.425,12.1135,0.424875
0.45,12.4073,0.45
0.475,12.7211,0.475025
0.5,13.0289,0.499925
0.525,13.3897,0.525025
0.55,13.7661,0.549875
0.575,14.1659,0.575025
0.6,14.7209,0.60005
0.625,15.4365,0.6249
0.65,16.0814,0.650025
0.675,16.9886,0.6748
0.7,17.7947,0.6999
0.725,19.0068,0.72475
0.75,20.8122,0.75
0.775,22.6531,0.77465
0.8,25.4484,0.79995
0.825,30.267,0.825125
0.85,36.3138,0.8504
0.875,48.8575,0.8751
0.9,68.3171,0.898425
0.925,128.365,0.852193
0.95,207.882,0.540909
