0.025,14.6749,0.0249926
0.05,14.8194,0.0499852
0.075,14.9263,0.0750074
0.1,15.0223,0.100022
0.125,15.1544,0.125022
0.15,15.27,0.15
0.175,15.4137,0.175
0.2,15.5626,0.199963
0.225,15.7228,0.22503
0.25,15.8749,0.250007
0.275,16.0763,0.274948
0.3,16.2992,0.300022
0.325,16.5561,0.325
0.35,16.8231,0.35003
0.375,17.1569,0.375007
0.4,17.514,0.399956
0.425,18.0277,0.424956
0.45,18.6222,0.45003
0.475,19.423,0.474896
0.5,20.4481,0.500074
0.525,21.8324,0.52497
0.55,23.9452,0.549889
0.575,27.3195,0.575037
0.6,33.6415,0.600074
0.625,59.7133,0.519227
