0.025,9.256,0.025025
0.05,9.348,0.05
0.075,9.331,0.075
0.1,9.34816,0.100025
0.125,9.32707,0.12505
0.15,9.37462,0.149975
0.175,9.42057,0.175025
0.2,9.48025,0.199975
0.225,9.54323,0.224975
0.25,9.58626,0.25
0.275,9.62599,0.27495
0.3,9.69115,0.299925
0.325,9.7644,0.325025
0.35,9.84458,0.350025
0.375,9.94547,0.37505
0.4,10.0512,0.40015
0.425,10.1207,0.424925
0.45,10.2273,0.450125
0.475,10.3575,0.47505
0.5,10.45,0.5001
0.525,10.5539,0.525125
0.55,10.6788,0.55005
0.575,10.7906,0.574925
0.6,10.9395,0.6
0.625,11.08,0.625075
0.65,11.2191,0.65
0.675,11.4383,0.67495
0.7,11.6039,0.7001
0.725,11.8423,0.72495
0.75,12.0717,0.7498
0.775,12.3151,0.77505
0.8,12.6329,0.79975
0.825,13.0009,0.824775
0.85,13.3055,0.850025
0.875,13.7481,0.8748
0.9,14.1475,0.899875
0.925,14.8091,0.92515
0.95,15.4535,0.949725
0.975,16.0136,0.97475
1,16.7687,0.999525
1.025,18.036,1.02533
1.05,19.1937,1.04975
1.075,20.6989,1.07455
1.1,23.1796,1.09963
1.125,26.0449,1.12452
1.15,29.9227,1.14942
1.175,36.0461,1.17467
1.2,46.8428,1.19967
1.225,75.6383,1.22422
1.25,121.52,1.19426
1.275,139.277,0.666458
