0.025,10.682,0.025025
0.05,10.646,0.05
0.075,10.6987,0.075
0.1,10.7457,0.099975
0.125,10.7789,0.12505
0.15,10.8374,0.149975
0.175,10.9031,0.17495
0.2,10.9765,0.2
0.225,11.0717,0.225
0.25,11.1661,0.249975
0.275,11.2858,0.275025
0.3,11.4228,0.299975
0.325,11.5848,0.325
0.35,11.7225,0.349975
0.375,11.9073,0.374975
0.4,12.1408,0.400075
0.425,12.3503,0.4251
0.45,12.6508,0.450025
0.475,13.0204,0.475025
0.5,13.4503,0.499875
0.525,14.0651,0.5251
0.55,14.983,0.5502
0.575,15.8072,0.574725
0.6,17.3902,0.5999
0.625,19.4938,0.625075
0.65,22.0023,0.6498
0.675,25.1291,0.67475
0.7,29.9042,0.69965
0.725,35.607,0.7245
0.75,50.0696,0.74755
0.775,164.512,0.756375
0.8,305.021,0.757865
0.825,370.899,0.78332
