0.025,6.5,0.025
0.05,6.5,0.05
0.075,6.5,0.075
0.1,6.5,0.0996
0.125,6.5,0.125
0.15,6.5,0.15
0.175,6.5,0.175
0.2,6.5,0.1996
0.225,6.5,0.2254
0.25,6.5,0.250401
0.275,6.5,0.275
0.3,6.5005,0.3001
0.325,6.49954,0.3253
0.35,6.5,0.35
0.375,6.4996,0.3749
0.4,6.50038,0.3997
0.425,6.5,0.425
0.45,6.5,0.45
0.475,6.50032,0.4747
0.5,6.5,0.5
0.525,6.5,0.525
0.55,6.5,0.55
0.575,6.50026,0.5747
0.6,6.49975,0.5999
0.625,6.5,0.625
0.65,6.5,0.65
0.675,6.5,0.675
0.7,6.49979,0.6999
0.725,6.50021,0.7251
0.75,6.5,0.75
0.775,6.5,0.775
0.8,6.49981,0.7999
0.825,6.50018,0.8251
0.85,6.5,0.85
0.875,6.49983,0.8749
0.9,6.50017,0.8997
0.925,6.5,0.925
0.95,6.5,0.95
0.975,6.49985,0.9749
1,6.50015,0.9997
1.025,248.806,1.0002
1.05,375.5,1.00076
1.075,430.558,1.00072
